,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
2767,8614516,West Sixth Apartment. Close to DT!,45316478,Megan,,78703,30.27454462896263,-97.7645900448274,Entire home/apt,80,1,3,2016-05-20,0.08,1,0,0.056261343012704176
2768,8615434,LAND FOR RV / CAMPERS or PHOTOSHOOT with BARN,45322081,David,,78724,30.31743993452642,-97.6158788367284,Entire home/apt,379,1,0,,,2,365,0.5989110707803993
2769,8615550,Cute duplex 15 min from Zilker,45322709,Jade,,78723,30.317348021285948,-97.69955388903273,Private room,125,1,0,,,1,365,0.13793103448275862
2770,8617407,Cute home on Greenbelt 8 mins to dt,5138116,Katrina,,78745,30.21051276751907,-97.78225273736473,Entire home/apt,130,1,3,2017-10-12,0.09,2,316,0.147005444646098
2771,8626000,Walk to Downtown and  Zilker Park!,2110748,Tara,,78704,30.258905563525747,-97.76192991023086,Entire home/apt,450,2,1,2016-03-15,0.03,1,0,0.7277676950998185
2772,8628310,Comfy couch!,45378554,Bryan,,78722,30.283685742906126,-97.71464587939337,Shared room,200,1,0,,,1,365,0.27404718693284935
2773,8628573,"Cozy Near River, Downtown & F1",45382082,Patrick,,78725,30.26263682048916,-97.66913151234264,Entire home/apt,149,2,1,2016-11-26,0.05,1,0,0.18148820326678766
2774,8630661,Great ACL apartment!,45391172,Kyle,,78704,30.26240653402564,-97.7755631612086,Entire home/apt,300,1,0,,,1,0,0.455535390199637
2775,8634046,Walk to the springs and Zilker,45399778,Van Jameson,,78704,30.260796000167225,-97.77298282478337,Entire home/apt,500,2,2,2016-03-21,0.06,1,0,0.8185117967332124
2776,8635224,Quiet Place near the City,45403441,Annalisa,,78753,30.37635851144425,-97.66879805084335,Private room,99,1,0,,,1,365,0.09074410163339383
2777,8635247,Remodeled East Austin Oasis Home,45404418,Stephanie,,78721,30.272476021291137,-97.68505962575917,Entire home/apt,150,1,0,,,1,0,0.18330308529945555
2778,8635264,Separated Guest Room w/ Hot Tub,45404324,Will,,78722,30.287196981505843,-97.71874594663441,Private room,200,1,0,,,1,0,0.27404718693284935
2779,8635458,1BD next to Zilkr Park,45405500,Joseph,,78704,30.26286165534306,-97.76105457997262,Entire home/apt,400,2,0,,,1,0,0.6370235934664247
2780,8636306,West Lake Duplex 8 min ACL Zilker,11527596,Ryan,,78746,30.296141488290964,-97.81769011796179,Entire home/apt,250,1,0,,,1,0,0.3647912885662432
2781,8642037,Private Austin Room,45599,Bryan,,78704,30.241305308212148,-97.73956858078164,Private room,350,1,0,,,1,365,0.5462794918330308
2782,8643553,ACL Lovers paradise!,24021581,Vanessa,,78745,30.220697852509105,-97.77445298656845,Private room,175,1,0,,,2,0,0.22867513611615245
2783,8644457,Tranquil Comfort Close to it ALL,4375434,Kira,,78723,30.31211892581848,-97.68549099637264,Private room,245,1,0,,,1,0,0.35571687840290384
2784,8644874,Chic East Side House,45444099,Ojas,,78702,30.269867024896023,-97.71802691406893,Entire home/apt,110,1,271,2018-09-07,7.57,3,136,0.11070780399274047
2785,8648604,Have an Extra Room,3418526,Wade,,78723,30.315839247730352,-97.7007386226124,Private room,200,1,1,2015-10-08,0.03,1,0,0.27404718693284935
2786,8649571,"Brand new, modern Swedish barnhouse",717474,Laurence,,78702,30.27491870716948,-97.71955056520795,Entire home/apt,600,1,0,,,1,0,1.0
2787,8651955,Charming bungalow Near Downtown,45472126,Oliver,,78705,30.298182170834338,-97.74520741684928,Entire home/apt,300,1,0,,,1,0,0.455535390199637
2788,8653287,F1 Host House 15min from anything,45477243,Kelsey,,78723,30.315977726197875,-97.67842903772241,Entire home/apt,500,1,0,,,1,0,0.8185117967332124
2789,8653782,"Austin's Best View, Luxury,Location",27133140,Daniel,,78703,30.26962832303261,-97.75280167710878,Entire home/apt,600,1,0,,,1,0,1.0
2790,8654242,"Great location for events, 5 miles to downtown!",10123594,Jayme And Joey,,78745,30.211493972096854,-97.78364469144708,Entire home/apt,300,2,2,2018-03-18,0.18,1,356,0.455535390199637
2791,8654269,Cozy 1 bedroom 1 bath (10/2-10/4),27284207,Galla,,78704,30.239426791832877,-97.75241633169165,Private room,300,1,0,,,1,365,0.455535390199637
